,Unnamed: 0,Nombre,Fecha,Tipo,Cantidad,Efecto,Mensaje,Detalles
0,0,Banco de Reservas de la Republica Dominicana,08/03,Transferir a cuenta bancaria,"$10,492.0","- $10,492.00DOP",,https://www.paypal.com/myaccount/activities/details/32U66787LX033625V
1,1,Uber BV,07/03,Pago automático,$60.0,- $60.00DOP,,https://www.paypal.com/myaccount/activities/details/0NJ67001XL5844611
2,2,Uber BV,07/03,Pago automático,$84.2,- $84.27DOP,,https://www.paypal.com/myaccount/activities/details/0UM86934WM028264U
3,3,Uber BV,07/03,Pago automático,$114.6,- $114.69DOP,,https://www.paypal.com/myaccount/activities/details/8T995428D7711973Y
4,4,Banco de Reservas de la Republica Dominicana,06/03,Transferir a cuenta bancaria,"$7,863.0","- $7,863.00DOP",,https://www.paypal.com/myaccount/activities/details/3SL005497L876843Y
5,5,Uber BV,27/02,Pago automático,$219.0,- $219.00DOP,,https://www.paypal.com/myaccount/activities/details/3EB41801DR617632D
6,6,Uber BV,24/02,Pago automático,$145.0,- $145.00DOP,,https://www.paypal.com/myaccount/activities/details/4Y7057790C8195338
7,7,Uber BV,21/02,Pago automático,$100.0,- $100.00DOP,,https://www.paypal.com/myaccount/activities/details/12W54441RT095925X
8,8,Banco de Reservas de la Republica Dominicana,10/02,Transferir a cuenta bancaria,"$2,613.0","- $2,613.00DOP",,https://www.paypal.com/myaccount/activities/details/28B551335H768814N
9,9,FIVERR INTERNATIONAL LTD.,10/02,Pago recibido,$178.80,+ $178.80,,https://www.paypal.com/myaccount/activities/details/1HE32494NN681310J
0,0,COBRO IMP DGII 0.15%_TRANS TUB,10/03/2023,COBRO IMP DGII 0.15%_TRANS TUB 29907126887 401010062,0.23,- 0.23DOP,COBRO IMP DGII 0.15%_TRANS TUB 29907126887 401010062,COBRO IMP DGII 0.15%_TRANS TUB 29907126887 401010062
1,1,RECARGA CLARO TUBANCOAPP,10/03/2023,RECARGA CLARO TUBANCOAPP 8492096734 29907126887,150.00,- 150.00DOP,RECARGA CLARO TUBANCOAPP 8492096734 29907126887,RECARGA CLARO TUBANCOAPP 8492096734 29907126887
2,2,COBRO IMP DGII 0.15%_TRANS TUB,09/03/2023,COBRO IMP DGII 0.15%_TRANS TUB 29891929231 401010062,0.15,- 0.15DOP,COBRO IMP DGII 0.15%_TRANS TUB 29891929231 401010062,COBRO IMP DGII 0.15%_TRANS TUB 29891929231 401010062
3,3,RECARGA CLARO TUBANCOAPP,09/03/2023,RECARGA CLARO TUBANCOAPP 8492096734 29891929231,100.00,- 100.00DOP,RECARGA CLARO TUBANCOAPP 8492096734 29891929231,RECARGA CLARO TUBANCOAPP 8492096734 29891929231
4,4,XP3247TX,08/03/2023,XP3247TX  ,0.00,"+ 10,492.00DOP",XP3247TX  ,XP3247TX  
5,5,COBRO IMP DGII 0.15%_TRANS TUB,07/03/2023,COBRO IMP DGII 0.15%_TRANS TUB 29867553118 22300513938,69.00,- 69.00DOP,COBRO IMP DGII 0.15%_TRANS TUB 29867553118 22300513938,COBRO IMP DGII 0.15%_TRANS TUB 29867553118 22300513938
6,6,TRANSFERENCIA A BIOSCOMPUTER FERNANDEZ RE,07/03/2023,  .,"46,000.00","- 46,000.00DOP",  .,  .
7,7,XQMGMF3T,06/03/2023,XQMGMF3T  ,0.00,"+ 7,863.00DOP",XQMGMF3T  ,XQMGMF3T  
8,8,CARGO MENSUAL USO TARJETA DE DEBITO,06/03/2023,ATM : COMISION MENSUAL USO ATM  ,50.00,- 50.00DOP,ATM : COMISION MENSUAL USO ATM  ,ATM : COMISION MENSUAL USO ATM  
9,9,210223 PLAZA LAMA 27 DE FEB,23/02/2023,210223 PLAZA LAMA 27 DE FEB SANTO DOMI DO 000039767214,"2,238.65","- 2,238.65DOP",210223 PLAZA LAMA 27 DE FEB SANTO DOMI DO 000039767214,210223 PLAZA LAMA 27 DE FEB SANTO DOMI DO 000039767214
10,10,COBRO IMP DGII 0.15%_TRANS TUB,15/02/2023,COBRO IMP DGII 0.15%_TRANS TUB 29628852149 401010062,0.15,- 0.15DOP,COBRO IMP DGII 0.15%_TRANS TUB 29628852149 401010062,COBRO IMP DGII 0.15%_TRANS TUB 29628852149 401010062
11,11,RECARGA CLARO TUBANCOAPP,15/02/2023,RECARGA CLARO TUBANCOAPP 8492096734 29628852149,100.00,- 100.00DOP,RECARGA CLARO TUBANCOAPP 8492096734 29628852149,RECARGA CLARO TUBANCOAPP 8492096734 29628852149
12,12,COBRO IMP DGII 0.15%_TRANS TUB,15/02/2023,COBRO IMP DGII 0.15%_TRANS TUB 29625508071 401010062,0.09,- 0.09DOP,COBRO IMP DGII 0.15%_TRANS TUB 29625508071 401010062,COBRO IMP DGII 0.15%_TRANS TUB 29625508071 401010062
13,13,RECARGA CLARO TUBANCOAPP,15/02/2023,RECARGA CLARO TUBANCOAPP 8492096734 29625508071,60.00,- 60.00DOP,RECARGA CLARO TUBANCOAPP 8492096734 29625508071,RECARGA CLARO TUBANCOAPP 8492096734 29625508071
14,14,XMTX5SCF,10/02/2023,XMTX5SCF  ,0.00,"+ 2,613.00DOP",XMTX5SCF  ,XMTX5SCF  
15,15,080223 LA SIRENA J CONTRERAS,09/02/2023,080223 LA SIRENA J CONTRERAS SANTO DOMI DO 020800341491,337.00,- 337.00DOP,080223 LA SIRENA J CONTRERAS SANTO DOMI DO 020800341491,080223 LA SIRENA J CONTRERAS SANTO DOMI DO 020800341491
16,16,060223 LA SIRENA J CONTRERAS,07/02/2023,060223 LA SIRENA J CONTRERAS SANTO DOMI DO 020600999802,"1,369.00","- 1,369.00DOP",060223 LA SIRENA J CONTRERAS SANTO DOMI DO 020600999802,060223 LA SIRENA J CONTRERAS SANTO DOMI DO 020600999802
17,17,CARGO MENSUAL USO TARJETA DE DEBITO,06/02/2023,ATM : COMISION MENSUAL USO ATM  ,50.00,- 50.00DOP,ATM : COMISION MENSUAL USO ATM  ,ATM : COMISION MENSUAL USO ATM  
18,18,CARGO ANUAL USO TARJETA CTA017,16/01/2023,CARGO ANUAL USO TARJETA CTA017  ,50.00,- 50.00DOP,CARGO ANUAL USO TARJETA CTA017  ,CARGO ANUAL USO TARJETA CTA017  
19,19,CARGO MENSUAL USO TARJETA DE DEBITO,10/01/2023,ATM : COMISION MENSUAL USO ATM  ,50.00,- 50.00DOP,ATM : COMISION MENSUAL USO ATM  ,ATM : COMISION MENSUAL USO ATM  
